id,grupo_edad,rol,estado,edad,estilo,usuario_input
24,25-35,Victima,CDMX,28,Emocional,"Me voy a morir. No paro de sangrar y me siento mareado, ¡creo que me voy a desmayar!¡Me dispararon!"
25,25-35,Victima,Quintana Roo,33,Emocional,"¡Me picó una mantarraya y no dejo de sangrar!¡tengo mucho dolor ayuda!"
26,25-35,Victima,Guanajuato,29,Emocional,"Creo que me voy a morir ¡Me duele la panza horrible! No me puedo parar y estoy sudando frío, ¡me duele todo!"
27,25-35,Victima,CDMX,31,Emocional,"Necesito ayuda ¡Me corté la mano y no para la sangre! Veo todo blanco, ¡tengo mucho miedo!"
28,25-35,Victima,Querétaro,34,Emocional,"¡Ayúdame porfavor me quebré la muñeca! El hueso se ve atravesado y sangra, ¡no puedo mover los dedos!"
29,25-35,Victima,Puebla,27,Emocional,"¡Me cayó un block en la cabeza! Estoy sangrando cabrón y siento que me voy a desmayar, ¡ayuda!"
30,25-35,Victima,Morelos,32,Emocional,"Necesito ayuda ¡Mi esposa me cortó el brazo con un cuchillo! No para de sangrar, ¡veo borroso!"
31,25-35,Victima,CDMX,35,Caotico,"¡AYUDAME AYUDAME DOLOR PECHO NO RESPIRAR APUÑALANDO AYUDA RÁPIDO!"
32,25-35,Victima,Nuevo León,28,Caotico,"¡NO MAMES TRÁILER ESTAMPÉ PIERNAS BORROSO AYUDAME!"
33,25-35,Victima,Jalisco,31,Caotico,"¡ME MORIR MOTO VOLÉ CARNE BRAZO SANGRE NO PARA AYUDA RÁPIDO!"
34,25-35,Victima,CDMX,33,Caotico,"¡DISPARO PIERNA SANGRE MAREADO DESMAYAR AYUDA AYUDA!"
35,25-35,Victima,Quintana Roo,29,Caotico,"NECESITO AYUDA¡MANTARRAYA PIE SANGRE DUELE PIERNA AYUDA AYUDA!"
36,25-35,Victima,Guanajuato,30,Caotico,"¡PANZA EXPLOTA DOLOR FUERTE SUDOR FRÍO AYUDA AYUDA!"
37,25-35,Victima,CDMX,34,Caotico,"¡SANGRE MANO NO PARA VEO BORROSO MAREADO AYUDA RÁPIDO!"
38,25-35,Victima,Querétaro,27,Caotico,"¡MUÑECA QUEBRADA HUESO SANGRE DEDOS NO MUEVO AYUDA!"
39,25-35,Victima,Puebla,32,Caotico,"¡HOPSITAL CABEZA SANGRE CHINGO DESMAYAR AYUDA AYUDA!"
40,25-35,Victima,Morelos,28,Caotico,"NECESITO AYUDA ¡CUCHILLO BRAZO SANGRE NO PARA MAREADO AYUDA AYUDA!"
41,25-35,Testigo,CDMX,32,Neutral,"Mi compa se cayó del andamio, está en el suelo y no se mueve"
42,25-35,Testigo,Nuevo León,28,Neutral,"Mi amigo del copiloto no respira después del choque"
43,25-35,Testigo,Jalisco,30,Neutral,"Mi novia se desmayó y está convulsionando en el antro, no sé que hacer."
44,25-35,Testigo,CDMX,33,Neutral,"Mi roomie se tomó pastillas y no despierta, respira muy lento, no sé que hacer"
45,25-35,Testigo,Quintana Roo,29,Neutral,"Mi hermano voló de la moto y está en el suelo con el brazo doblado"
46,25-35,Testigo,Guanajuato,34,Neutral,"A mi compañero le cayó un tubo en la cabeza y está inconsciente "
47,25-35,Testigo,CDMX,27,Neutral,"Mi amigo se metió al río y no salió, ya van como 3 minutos"
48,25-35,Testigo,Querétaro,31,Neutral,"Mi cuate tomó mucho y no responde, está pálido y vomita"
49,25-35,Testigo,Puebla,28,Emocional,"Siento como si me estuvieran acuchillando, tengo mucho dolor el pecho y me duele el estómago, necesito ir al hospital."
50,25-35,Testigo,Morelos,35,Neutral,"Mi vecina se está poniendo morada por un camarón que comió"
51,25-35,Testigo,CDMX,34,Emocional,"¡Mi carnal se cayó del segundo piso! No respira y tiene sangre en la boca, ¡estoy desesperado!"
52,25-35,Testigo,Nuevo León,29,Emocional,"¡Mi morra quedó prensada en el coche! No responde y tiene un fierro en la pierna, ¡ayudame güey!"
53,25-35,Testigo,Jalisco,31,Emocional,"¡Mi jefe se desmayó en la oficina! No respira y está pálido, ¡tengo mucho miedo!"
54,25-35,Testigo,CDMX,27,Emocional,"¡Mi cuate se cayó con la barra en el cuello! Está morado y no respira, ¡está grave!"
55,25-35,Testigo,Quintana Roo,33,Emocional,"¡Mi roomie no despierta! Está tieso y no respira, ¡no sé qué pedo, llamen a una ambulancia!"
56,25-35,Testigo,Guanajuato,30,Emocional,"¡Mi compa se cayó en la obra! Sangra de la nariz y no se mueve, ¡estoy muy asustado!"
57,25-35,Testigo,CDMX,35,Emocional,"¡Mi amigo no respira! Tiene sangre en la boca después del choque, ¡no sé si está vivo!"
58,25-35,Testigo,Querétaro,28,Emocional,"Ayudame ¡Mi novia se desmayó! Está convulsionando y echando espuma, ¡no sé qué hacer!"
59,25-35,Testigo,Puebla,32,Emocional,"¡Mi roomie no despierta! Respira muy lento y hace ruidos raros, se va a morir ¡tengo mucho miedo!"
60,25-35,Testigo,Morelos,34,Emocional,"¡Mi hermano voló de la moto! Tiene el brazo doblado y sangra mucho, ¡ayuda!"
61,25-35,Testigo,CDMX,29,Caotico,"¡CARNAL SEGUNDO PISO NO RESPIRA SANGRE AYUDA AYUDA!"
62,25-35,Testigo,Nuevo León,31,Caotico,"¡MORRA PRENSADA FIERRO PIERNA NO RESPONDE WE!"
63,25-35,Testigo,Jalisco,28,Caotico,"¡JEFE DESMAYADO NO RESPIRA PÁLIDO AYUDA AYUDA!"
64,25-35,Testigo,CDMX,33,Caotico,"¡CARNAL BARRA CUELLO CULERO MORADO NO RESPIRA AYUDA!"
65,25-35,Testigo,Quintana Roo,30,Caotico,"¡SE MORIR ROOMIE TIESO NO RESPIRA AMBULANCIA AYUDA!"
66,25-35,Testigo,Guanajuato,35,Caotico,"¡COMPA OBRA SANGRE NARIZ NO MUEVE AYUDA!"
67,25-35,Testigo,CDMX,27,Caotico,"¡AMIGO NO RESPIRA SANGRE BOCA AYUDAME AYUDA!"
68,25-35,Testigo,Querétaro,32,Caotico,"¡NOVIA CONVULSIONA ESPUMA NO SÉ AYUDAME!"
69,25-35,Testigo,Puebla,29,Caotico,"¡PORFAVOR ROOMIE NO DESPIERTA RESPIRA LENTO!"
70,25-35,Testigo,Morelos,34,Caotico,"¡HOSPITAL HERMANO MOTO SANGRE BRAZO DOBLADO AYUDA!"
71,25-35,Victima,CDMX,30,Formal,"Siento un dolor intenso en el pecho, no puedo respirar"
72,25-35,Victima,Nuevo León,33,Formal,"Tengo mucho dolor, siento presión en el pecho no puedo respirar."
73,25-35,Victima,Jalisco,28,Formal,"Mi primo se cayó de la moto, estaba bien y se desamayó de pronto, no responde"
74,25-35,Victima,CDMX,31,Formal,"Me comí un camarón en la playa y se me empezó a hinchar la garganta y la cara, no puedo respirar bien y siento que me hormiguea el cuerpo.
75,25-35,Victima,Quintana Roo,29,Formal,"Me picó una abeja y siento que se me está cerrando la garganta, me hormiguea todo el cuerpo y me duele mucho el pecho."
76,25-35,Testigo,Guanajuato,34,Formal,"Mi hijo comió algo, se empezó a hinchar ahora tiene mucho dolor en el pecho y no para de vomitar. qué hago?"
77,25-35,Victima,CDMX,27,Formal,"Me corté la mano con el cuchillo, siento que no puedo respirar bien y la sangre no para"
78,25-35,Testigo,Querétaro,32,Slang,"No mames mi primo se clavó un vidrio en el brazo y no para de sangrar, está blanco. qué hago?"
79,25-35,Testigo,Puebla,30,Formal,"Mi compañero se cayó y se golpeó la cabeza, esta sangrando mucho, se puso pálido y perdió el conocimiento"
80,25-35,Victima,Morelos,35,Formal,"Mi amigo tomó demasiado alcohol en la fiesta, ahora está inconsciente, no responde cuando le hablo y respira muy lento."
81,25-35,Victima,CDMX,29,Slang,"Me chingaron, me dieron un balazo en la pata y no deja de sangrar, ya estoy viendo borroso güey ayúdame"
82,25-35,Victima,Nuevo León,32,Slang,"No mames, se me metió un tráiler y me estampé, no siento las patas y veo bien borroso, me voy a morir."
83,25-35,Victima,Jalisco,28,Slang,"Me caí de la moto y veo la carne del brazo, está bien culero, no para de sangrar, duele."
84,25-35,Victima,CDMX,30,Slang,"Me dieron un balazo en la pierna, no deja de sangrar y ya me estoy mareando, wey, me duele."
85,25-35,Victima,Quintana Roo,33,Slang,"Me picó una mantarraya y no deja de sangrar, me duele bien gacho la pierna, no puedo caminar"
86,25-35,Victima,Guanajuato,29,Slang,"Wey me duele la panza bien cabrón, como si me acuchillaran, estoy sudando frío y no me puedo parar"
87,25-35,Victima,CDMX,31,Slang,"güey me corté la mano y no para la sangre, veo puntitos y me estoy mareando, está bien gacho, no sé que hacer güey"
88,25-35,Victima,Querétaro,34,Slang,"Me quebré la muñeca, el hueso se ve y sangra, no puedo mover los dedos, está bien culero"
89,25-35,Victima,Puebla,27,Slang,"Me cayó un block en la cabeza, estoy sangrando un chingo y creo que me voy a desmayar wey"
90,25-35,Victima,Morelos,32,Slang,"Mi vieja me cortó el brazo con un cuchillo, no para de sangrar y me estoy mareando."
91,25-35,Victima,CDMX,28,Errores,"Me duele el pecho bien feo como si alguien me estubiera apuñalando, no puedo respirar"
92,25-35,Victima,Nuevo León,33,Errores,"iba manejando y un camion me choco de frente, el volante me aplasto el pecho"
93,25-35,Victima,Jalisco,30,Errores,"Me caí de la moto en la carretera, tengo raspado todo el brazo y veo la carnee"
94,25-35,Victima,CDMX,29,Errores,"Me cayó una lamina en la obra, me aplasto la pierna y no la siento"
95,25-35,Victima,Quintana Roo,34,Errores,"Me pico una mantarraya en la playa, no dejo de sangrar y me duele hasta la pierna"
96,25-35,Victima,Guanajuato,27,Errores,"Me dio un dolor bien culero en la panza, como si me explotara algo"
97,25-35,Victima,CDMX,31,Errores,"Me corte la mano con una sierra, no para de sangrar y me estoy mareando"
98,25-35,Victima,Querétaro,32,Errores,"me resbale en el baño y me quebre la muñeca, el hueso se ve atrabesado"
99,25-35,Victima,Puebla,28,Errores,"me dispararon en la pierna en la colonia no para de sangrar y me boy a desmayar"
100,25-35,Victima,Morelos,35,Errores,"Me cayó un block en la cabeza, me duele bien feo y estoy sangrando un chingo"

101,25-35,Testigo,CDMX,30,Slang,"Mi compa se cayó del andamio y no se mueve, wey, está bien grave,le está sangrando mucho la nariz"
102,25-35,Testigo,Nuevo León,33,Slang,"Mi carnal voló en el choque, no respira y tiene sangre en la boca, qué pedo, güey que hago?"
103,25-35,Testigo,Jalisco,29,Slang,"Mi morra se desmayó y está convulsionando, wey, no sé qué hacer culero"
104,25-35,Testigo,CDMX,31,Slang,"Tengo miedo. Mi roomie no despierta, wey respira bien lento y hace ruidos raros"
105,25-35,Testigo,Quintana Roo,34,Slang,"Mi hermano voló de la moto y está en el suelo con el brazo doblado, sangra un chingo"
106,25-35,Testigo,Guanajuato,28,Slang,"A mi compa le cayó un tubo en la cabeza, está inconsciente y está sangrando del oído"
107,25-35,Testigo,CDMX,32,Slang,"Mi cuate se metió al río y no salió, wey, ya van 3 minutos, creo que se ahogó"
108,25-35,Testigo,Querétaro,30,Slang,"Mi compa tomó mucho y no responde, está pálido y vomita, no lo puedo despertar, qué pedo qué hago?"
109,25-35,Testigo,Puebla,33,Emocional,"Ayudame porfavor¡Mi hermano se tomó toda una botella de tequila y ahora no despierta, está pálido, respira raro y no lo puedo mover!"
110,25-35,Testigo,Morelos,29,Slang,"Mi vecina se está poniendo morada, no puede respirar, wey, se comió un camarón y se le hinchó la cara, qué tengo que hacer?"
111,25-35,Testigo,CDMX,31,Errores,"Mi compa se cayó del andamio, esta en el suelo y no se mueve"
112,25-35,Testigo,Nuevo León,28,Errores,"Mi amigo del copiloto no respira despues del choque"
113,25-35,Testigo,Jalisco,34,Errores,"Mi novia se desmayo y esta convulsionando en el antro no se que hacer"
114,25-35,Testigo,CDMX,30,Errores,"Mi roomie se tomo pastillas y no despierta, respira muy lento"
115,25-35,Testigo,Quintana Roo,33,Errores,"Mi hermano volo de la moto y esta en el suelo con el brazo doblado"
116,25-35,Testigo,Guanajuato,29,Errores,"A mi compañero le cayo un tubo en la cabeza y esta inconsciente"
117,25-35,Testigo,CDMX,32,Errores,"Ayuda. Mi amigo se metio al rio y no salio, ya van como 3 minutos"
118,25-35,Testigo,Querétaro,31,Errores,"Mi cuate tomo mucho y no responde, esta palido y vomita, que hago?"
119,25-35,Testigo,Puebla,35,Errores,"El gato aplasto a mi primo, no puede respirar y esta morado"
120,25-35,Testigo,Morelos,27,Errores,"Porfavor ayudame mi vecina se esta poniendo morada por un camaron que comio"
121,16-25,Victima,CDMX,19,Neutral,"Me dispararon en la pierna en la colonia, no para de sangrar y me estoy mareando"
122,16-25,Testigo,Nuevo León,22,Neutral,"Un carro chocó, una persona está inconsciente no respira y a otro le duele el pecho"
123,16-25,Victima,Jalisco,18,Neutral,"Una corriente arrastró a mi amigo mientras nadaba en la playa, tiene tos y le cuesta trabajo respirar"
124,16-25,Victima,CDMX,20,Neutral,"Me cayó una lámina en la obra, me aplastó la pierna y no la siento"
125,16-25,Victima,Quintana Roo,17,Neutral,"Alguien le puso algo a mi bebida en la fiesta, no controlo mi cuerpo"
126,16-25,Testigo,Guanajuato,23,Neutral,"¡Creo que alguien le puso algo a la bebida de mi amigo en la fiesta! Ahora no controla su cuerpo y no responde, ¡tengo mucho miedo!"
127,16-25,Victima,CDMX,16,Neutral,"Choqué jugando fútbol, me golpeé la cabeza y veo borroso"
128,16-25,Victima,Querétaro,24,Neutral,"Me resbalé en la regadera y me quebré la muñeca"
129,16-25,Victima,Puebla,21,Neutral,"Me picó un alacrán en el pie, se me hincha la garganta"
130,16-25,Victima,Morelos,18,Neutral,"Me caí de una moto en la carretera, tengo raspado todo el brazo"
131,16-25,Victima,CDMX,19,Emocional,"Ayudame¡Me dispararon! No para de sangrar y me mareo, ¡creo que me voy a desmayar!"
132,16-25,Victima,Nuevo León,22,Emocional,"Tengo miedo ¡Choqué en la carretera! Me duele el pecho y no puedo respirar!"
133,16-25,Victima,Jalisco,18,Emocional,"Creo que necesito ir al hospital. Wey casi me ahogo en la playa! me cuesta trabajo respirar, me voy a morir"
134,16-25,Victima,CDMX,20,Emocional,"No mames¡Me cayó una lámina en la pierna! No la siento y veo el hueso, ¡me duele muchísimo!"
135,16-25,Victima,Quintana Roo,17,Emocional,"¡Alguien le puso algo a mi bebida! No controlo mi cuerpo y me tiembla todo, ¡tengo miedo!"
136,16-25,Victima,Guanajuato,23,Emocional,"¡Me reventaron el tímpano! Sangra y no escucho nada, ¡me duele muchísimo!"
137,16-25,Victima,CDMX,16,Emocional,"¡Wey choqué jugando fútbol! Veo borroso y no recuerdo nada, ¡me duele la cabeza!"
138,16-25,Victima,Querétaro,24,Emocional,"¡Me quebré la muñeca! El hueso se ve y sangra, no puedo mover los dedos"
139,16-25,Victima,Puebla,21,Emocional,"¡Me duele mucho ayudame me picó un alacrán! Se me hincha la garganta y no puedo respirar, ¡tengo miedo!"
140,16-25,Victima,Morelos,18,Emocional,"¡Me caí de la moto! Veo la carne del brazo y no para de sangrar, ¡me arde mucho!"
141,16-25,Victima,CDMX,19,Caotico,"¡DISPARO PIERNA SANGRE MAREADO DESMAYAR AYUDA AYUDA!"
142,16-25,Victima,Nuevo León,22,Caotico,"¡CHOQUE CARreTERA DUELE PECHO NO RESPIRO AYUDA!"
143,16-25,Victima,Jalisco,18,Caotico,"¡AHOGO PLAYA TOS SANGRE DUELE TODO AYUDA!"
144,16-25,Victima,CDMX,20,Caotico,"¡LÁMINA PIERNA HUESO SANGRE AYUDA AYUDA!"
145,16-25,Victima,Quintana Roo,17,Caotico,"¡BEBIDA ALGUIEN ALGO NO CONTROLAR TIEMBLO AYUDA!"
146,16-25,Victima,Guanajuato,23,Caotico,"¡TÍMPANO ROTO SANGRE OÍDO NO ESCUCHO AYUDA!"
147,16-25,Victima,CDMX,16,Caotico,"¡FÚTBOL GOLPE CABEZA BORROSO NO RECUERDO AYUDA!"
148,16-25,Victima,Querétaro,24,Caotico,"¡MUÑECA QUEBRADA HUESO SANGRE DEDOS AYUDA!"
149,16-25,Victima,Puebla,21,Caotico,"¡ALACRÁN PIE GARGANTA HINCHADA NO RESPIRAR AYUDA!"
150,16-25,Victima,Morelos,18,Caotico,"¡MOTO CARNE BRAZO SANGRE NO PARA AYUDA!"
151,16-25,Victima,CDMX,19,Slang,"Me chingaron, me dieron un balazo en la pata y no deja de sangrar, ya me estoy desmayando, güey"
152,16-25,Victima,Nuevo León,22,Slang,"No mames, choqué bien feo en la carretera, el volante me aplastó el pecho, wey"
153,16-25,Victima,Jalisco,18,Slang,"Casi me ahogo en la playa, tos con sangre y me duele todo, qué mal pedo"
154,16-25,Victima,CDMX,20,Slang,"Me cayó una lámina en la chamba, me aplastó la pata, la tengo doblada y veo el hueso"
155,16-25,Victima,Quintana Roo,17,Slang,"En la peda alguien le puso algo a mi chela, no controlo mi cuerpo y tiemblo bien cabrón"
156,16-25,Victima,Guanajuato,23,Slang,"Mi morra me dio una cachetada y me reventó el oído, tengo sangre y no escucho nada"
157,16-25,Victima,CDMX,16,Slang,"Estaba jugando fútbol y choqué, veo borroso y no recuerdo nada, está bien feo"
158,16-25,Victima,Querétaro,24,Slang,"Me resbalé en la regadera y me quebré la muñeca, el hueso se ve, está bien culero"
159,16-25,Victima,Puebla,21,Slang,"Me picó un alacrán, se me hincha la garganta y no puedo respirar, qué miedo, wey"
160,16-25,Victima,Morelos,18,Slang,"Me caí de la moto y veo la carne del brazo, no para de sangrar, está bien gacho"
161,16-25,Testigo,CDMX,22,Neutral,"Mi compa se cayó en la obra, sangra de la nariz y no se mueve"
162,16-25,Testigo,Nuevo León,19,Neutral,"Mi amigo no respira después del choque, tiene sangre en la boca"
163,16-25,Testigo,Jalisco,23,Neutral,"Mi novia se desmayó en el antro y está convulsionando"
164,16-25,Testigo,CDMX,20,Neutral,"Mi roomie se tomó pastillas y no despierta, respira lento"
165,16-25,Testigo,Quintana Roo,18,Neutral,"Mi hermano voló de la moto, tiene el brazo doblado y sangra"
166,16-25,Testigo,Guanajuato,24,Neutral,"A mi compañero le cayó un tubo en la cabeza"
167,16-25,Testigo,CDMX,21,Neutral,"Mi amigo se metió al río y no salió, ya van 3 minutos"
168,16-25,Testigo,Querétaro,17,Neutral,"Mi cuate tomó mucho y no responde, está pálido y vomita"
169,16-25,Testigo,Puebla,22,Neutral,"El gato aplastó a mi primo, no puede respirar y está morado"
170,16-25,Testigo,Morelos,19,Neutral,"Mi vecina se está poniendo morada y no puede respirar"
171,16-25,Testigo,CDMX,22,Emocional,"¡Mi compa se cayó en la obra! Sangra de la nariz y no se mueve, ¡estoy muy asustado!"
172,16-25,Testigo,Nuevo León,19,Emocional,"¡Mi amigo no respira! Tiene sangre en la boca después del choque, ¡no sé si está vivo!"
173,16-25,Testigo,Jalisco,23,Emocional,"¡Mi novia se desmayó! Está convulsionando y echando espuma, ¡no sé qué hacer!"
174,16-25,Testigo,CDMX,20,Emocional,"¡Mi roomie no despierta! Respira muy lento y hace ruidos raros, ¡tengo mucho miedo!"
175,16-25,Testigo,Quintana Roo,18,Emocional,"¡Mi hermano voló de la moto! Tiene el brazo doblado y sangra mucho, ¡ayuda!"
176,16-25,Testigo,Guanajuato,24,Emocional,"¡A mi compañero le cayó un tubo! Está inconsciente y sangra del oído, ¡no reacciona!"
177,16-25,Testigo,CDMX,21,Emocional,"¡Mi amigo se ahogó en el río! No sale, ya van 3 minutos, ¡no lo encuentro!"
178,16-25,Testigo,Querétaro,17,Emocional,"¡Mi cuate no responde! Tomó mucho y está pálido, vomita y no lo despierto"
179,16-25,Testigo,Puebla,22,Emocional,"¡El gato aplastó a mi primo! No puede respirar y está morado, ¡tose sangre!"
180,16-25,Testigo,Morelos,19,Emocional,"¡Mi vecina no respira! Tiene la cara hinchada y se puso morada, ¡se comió un camarón!"
181,16-25,Testigo,CDMX,22,Caotico,"¡COMPA OBRA SANGRE NARIZ NO MUEVE AYUDA AYUDA!"
182,16-25,Testigo,Nuevo León,19,Caotico,"¡AMIGO NO RESPIRA SANGRE BOCA AYUDA AYUDA!"
183,16-25,Testigo,Jalisco,23,Caotico,"¡NOVIA CONVULSIONA ESPUMA NO SÉ AYUDA!"
184,16-25,Testigo,CDMX,20,Caotico,"¡ROOMIE NO DESPIERTA RESPIRA LENTO AYUDA!"
185,16-25,Testigo,Quintana Roo,18,Caotico,"¡HERMANO MOTO SANGRE BRAZO DOBLADO AYUDA!"
186,16-25,Testigo,Guanajuato,24,Caotico,"¡TUBO CABEZA SANGRE OÍDO NO REACCIONA AYUDA!"
187,16-25,Testigo,CDMX,21,Caotico,"¡RÍO AMIGO NO SALE 3 MINUTOS AYUDA AYUDA!"
188,16-25,Testigo,Querétaro,17,Caotico,"¡CUATE VOMITA PÁLIDO NO RESPONDE AYUDA!"
189,16-25,Testigo,Puebla,22,Caotico,"¡PRIMO GATO MORADO NO RESPIRA AYUDA!"
190,16-25,Testigo,Morelos,19,Caotico,"¡VECINA MORADA CARA HINCHADA AYUDA!"
191,16-25,Testigo,CDMX,22,Slang,"Mi compa se cayó en la obra, wey, sangra de la nariz y no se mueve, está bien grave"
192,16-25,Testigo,Nuevo León,19,Slang,"Mi amigo no respira después del choque, tiene sangre en la boca, qué pedo, güey"
193,16-25,Testigo,Jalisco,23,Slang,"Mi novia se desmayó en el antro y está convulsionando, no sé qué hacer, wey"
194,16-25,Testigo,CDMX,20,Slang,"Mi roomie se tomó pastillas y no despierta, respira bien lento, qué miedo, güey"
195,16-25,Testigo,Quintana Roo,18,Slang,"Mi hermano voló de la moto, tiene el brazo doblado y sangra un chingo, está bien culero"
196,16-25,Testigo,Guanajuato,24,Slang,"A mi compa le cayó un tubo en la cabeza y no reacciona, wey, está canijo"
197,16-25,Testigo,CDMX,21,Slang,"Mi cuate se metió al río y no salió, ya van 3 minutos, creo que se ahogó, qué mal pedo"
198,16-25,Testigo,Querétaro,17,Slang,"Mi compa tomó mucho y no responde, está pálido y vomita, no lo puedo despertar, güey"
199,16-25,Testigo,Puebla,22,Slang,"güey güey güey el  aplastó a mi primo, no puede respirar y se esta poniendo morado"
200,16-25,Testigo,Morelos,19,Slang,"Mi vecina se está poniendo morada, wey, se comió un camarón y se le hinchó la cara"
201,16-25,Victima,CDMX,19,Errores,"Me dispararon en la pierna en la colonia, no para de sangrar y me estoy mareando"
202,16-25,Victima,Nuevo León,22,Errores,"Voy manejando en la carretera y choque, me duele el pecho y no puedo respirar"
203,16-25,Victima,Jalisco,18,Errores,"Me metí a nadar a la playa y una corriente me arrastro, casi me ahogo"
204,16-25,Victima,CDMX,20,Errores,"Me cayo una lamina en la obra, me aplasto la pierna y no la siento"
205,16-25,Victima,Quintana Roo,17,Errores,"Alguien le puso algo a mi bebida en la fiesta, no controlo mi cuerpo"
206,16-25,Victima,Guanajuato,23,Errores,"Mi novia me revento el timpano, tengo sangre en el oido y no escucho"
207,16-25,Victima,CDMX,16,Errores,"Choque jugando futbol, me golpee la cabeza y veo borroso"
208,16-25,Victima,Querétaro,24,Errores,"Me resbale en la regadera y me quiebre la muñeca"
209,16-25,Victima,Puebla,21,Errores,"Me pico un alacran en el pie, se me hincha la garganta"
210,16-25,Victima,Morelos,18,Errores,"Me cai de una moto en la carretera, tengo raspado todo el brazo"
id,grupo_edad,rol,estado,edad,estilo,usuario_input
211,Niños,Victima,CDMX,8,Infantil,"Ayudame porfa, no puedo respirar, me metí una canica a la nariz y me duele y tengo miedo"
212,Niños,Victima,Nuevo León,10,Infantil,"Estoy temblando mucho y no puedo parar, mi mamá no está y tengo miedo"
213,Niños,Victima,Jalisco,9,Infantil,"Me caí de mi bici, me pegué en la cabeza y veo dos de todo, me duele mucho y quiero vomitar"
214,Niños,Victima,CDMX,8,Infantil,"Mi respirador no funciona, no puedo respirar y tengo miedo de morirme"
215,Niños,Victima,Quintana Roo,12,Infantil,"Una mantarraya me picó el pie y sangra mucho, me duele y no puedo caminar"
216,Niños,Victima,Guanajuato,10,Infantil,"Me caí del árbol y me duele la espalda, no siento mis piernas y tengo miedo"
217,Niños,Testigo,CDMX,11,Infantil,"Mi abuelito se cayó y no se mueve, tiene sangre en la cabeza y está dormido"
218,Niños,Testigo,Querétaro,9,Infantil,"Mi hermana está en el agua y no sale, ya pasó mucho tiempo"
219,Niños,Testigo,Puebla,12,Infantil,"Mi vecino tocó un cable y se cayó, no responde cuando le hablo"
220,Niños,Testigo,Morelos,8,Infantil,"Mi perro mordió a mi mamá y sangra mucho, está blanca"
221,Niños,Victima,CDMX,10,Neutral,"Me duele, me caí de la bicicleta y me raspé la rodilla, sangra mucho"
222,Niños,Victima,Nuevo León,11,Neutral,"Me metí un frijol en la nariz y no puedo respirar bien"
223,Niños,Victima,Jalisco,8,Neutral,"Me duele la cabeza y siento que me aprietan el pecho"
224,Niños,Victima,CDMX,12,Neutral,"Me caí de la resbaladilla y me duele la espalda, no me puedo mover"
225,Niños,Victima,Estado de México,9,Neutral,"Mi hermano se comió un dulce y no puede respirar"
226,Niños,Victima,CDMX,10,Neutral,"Me duele me picó una abeja en la lengua y se me está hinchando"
