id,rol,estado,edad,estilo,usuario_input
26,Victima,Quintana Roo,29,Caotico,"¡PIEL QUEMADA DUELE MUCHO ROJA NO AGUANTO AYUDA!"
27,Victima,CDMX,9,Infantil,"Estuve mucho tiempo en el sol y me duele la cabeza, tengo mucha sed y me siento mal"
28,Victima,Nuevo León,10,Infantil,"Hizo mucho frío y me tiembla el cuerpo, no puedo calentarme, ayudame porfa"
29,Victima,Jalisco,8,Infantil,"Caminé mucho y no tomé agua, tengo la boca seca y me duele la cabeza"
30,Victima,CDMX,11,Infantil,"Me dio calor en el recreo y me mareé, me duele la cabeza y la panza"
31,Victima,CDMX,34,Formal,"Estuve expuesto al sol varias horas, ahora tengo dolor de cabeza fuerte y muchas náuseas"
32,Victima,Nuevo León,38,Formal,"Tuve mucho frío en el cerro, no puedo controlar los escalofríos y mis manos están entumecidas"
33,Victima,Jalisco,30,Formal,"No tomé suficiente agua con el calor, me siento débil y tengo calambres en las piernas"
34,Victima,CDMX,36,Formal,"Subí a la montaña y me empecé a sentir mal, me duele la cabeza y me falta el aire"
35,Victima,CDMX,27,Slang,"Wey llevo todo el día en el sol y no tomé agua, me siento bien mal, me duele la cabeza"
36,Victima,Nuevo León,29,Slang,"No mames hace un frío de la chingada, no puedo dejar de temblar y no siento las manos"
37,Victima,CDMX,25,Errores,"Llevo oras en el sol y me duele la cabeza tengo muxa sed y me siento debil"
38,Victima,CDMX,32,Neutral,"Hace mucho calor y me siento cansado, tengo dolor de cabeza y estoy sudando demasiado"
39,Victima,Nuevo León,28,Neutral,"Estuve en el frío sin chamarra, ahora me tiembla el cuerpo y no siento bien los dedos"
40,Victima,Jalisco,34,Neutral,"Caminé todo el día bajo el sol, tengo la piel quemada y me duele mucho la cabeza"
41,Testigo,CDMX,30,Neutral,"Vi a mi amigo desmayarse por el calor, estaba muy rojo y sudaba mucho"
42,Testigo,Nuevo León,28,Neutral,"Mi hermano lleva horas en el frío y no puede dejar de temblar, se ve muy pálido"
43,Testigo,Jalisco,32,Neutral,"Mi compañero no ha tomado agua en todo el día, se ve muy cansado y mareado"
44,Testigo,CDMX,25,Neutral,"Vi a una persona que se mareó por el sol, estaba muy roja y no se podía parar"
45,Testigo,Quintana Roo,29,Emocional,"¡Mi amigo se desmayó por el calor! Está muy caliente y no reacciona, ¡ayuda!"
46,Testigo,Nuevo León,31,Emocional,"¡Mi esposo lleva horas en el frío y no puede calentarse! Tiembla mucho y no siente sus manos"
47,Testigo,CDMX,24,Caotico,"¡AMIGO CALOR DESMAYADO NO REACCIONA AYUDA RÁPIDO!"
48,Testigo,CDMX,9,Infantil,"Mi hermana se mareó por el sol, estaba muy roja y se cayó, ayudame porfa"
49,Testigo,CDMX,36,Formal,"Mi compañero se desmayó por el calor, está muy caliente y sudando mucho, no reacciona"
50,Testigo,Nuevo León,33,Slang,"Wey mi compa se desmayó por el calor, esta bien rojo y no reacciona no mames"
