id,rol,estado,edad,estilo,usuario_input
23,Victima,Nuevo León,32,Caotico,"¡AGUA SE ACABÓ SED NO CAMINO NO SALIDA AYUDA!"
24,Victima,Jalisco,26,Caotico,"¡TORMENTA LLEGA NO REFUGIO ATRAPADO AYUDA RÁPIDO!"
25,Victima,CDMX,35,Caotico,"¡NIEBLA ESPESA NO VEO SENDERO DESORIENTADO AYUDA!"
26,Victima,Quintana Roo,29,Caotico,"¡RÍO CRECIDO ATRAPADO NO CRUZO OSCURECE AYUDA!"
27,Victima,CDMX,9,Infantil,"Me perdí en el cerro con mi papa, no encuentro el camino y tengo miedo porque está oscuro"
28,Victima,Nuevo León,10,Infantil,"Se me acabó el agua y tengo mucha sed, no sé dónde estoy, ayudame porfavor"
29,Victima,Jalisco,8,Infantil,"Está lloviendo mucho y no tengo dónde esconderme, tengo frío y tengo miedo"
30,Victima,CDMX,11,Infantil,"Me perdí del grupo y no encuentro el sendero, ya está oscureciendo y tengo miedo"
31,Victima,CDMX,34,Formal,"Me perdí en el cerro y ya está oscureciendo, no traje linterna y ya casi no tengo señal en el teléfono"
32,Victima,Nuevo León,38,Formal,"Llevo varias horas sin agua y el sol está muy fuerte, me siento muy débil y no encuentro la salida"
33,Victima,Jalisco,30,Formal,"La tormenta me atrapó y no tengo dónde protegerme, el agua está subiendo y no puedo avanzar"
34,Victima,CDMX,36,Formal,"El camino está bloqueado por un derrumbe, no puedo regresar ni seguir adelante"
35,Victima,CDMX,27,Formal,"La niebla no me deja ver el sendero, llevo horas perdido y el agua se está acabando"
36,Victima,CDMX,32,Slang,"Wey, me perdí en el cerro y ya está oscureciendo, no traje ni linterna, estoy bien asustado"
37,Victima,Nuevo León,29,Slang,"No mames, se me acabó el agua y llevo horas caminando, no veo salida por ningún lado"
38,Victima,CDMX,25,Errores,"Me perdi en el cerro y ya esta osucereciendo, no tengo señal y el agua se me acabo"
39,Victima,CDMX,32,Neutral,"La tormenta me sorprendió en el cerro, el agua está subiendo y no puedo cruzar el río"
40,Victima,Nuevo León,28,Neutral,"Se me acabó la batería del celular y no sé dónde estoy, llevo horas caminando"
41,Testigo,CDMX,30,Neutral,"Estoy perdido en el cerro con un grupo de personas, ya casi no tenemos agua y está oscureciendo"
42,Testigo,Nuevo León,28,Neutral,"Mi amigo se separó del grupo en el cerro, ya no lo encuentro y creo que su teléfono no tiene señal"
43,Testigo,Jalisco,32,Neutral,"Un compañero se quedó atrapado por la tormenta, no puede bajar y no tiene refugio"
44,Testigo,CDMX,25,Emocional,"¡Mi amigo se perdió en el cerro! Está oscureciendo y no tiene agua ni señal, ¡tengo mucho miedo!"
45,Testigo,CDMX,9,Infantil,"Mi hermanito se perdió en el cerro, no lo encuentro y ya está oscuro, tengo miedo, ayudame"
46,Testigo,CDMX,24,Slang,"Wey mi compa se perdió en el cerro, ya está oscureciendo y no tiene señal no mames"
47,Testigo,CDMX,30,Neutral,"El grupo está atrapado por el río crecido, no pueden cruzarlo y está empezando a llover"
48,Testigo,Nuevo León,34,Neutral,"Hay una tormenta muy fuerte y varios senderistas no han regresado, no tienen señal ni linternas"
49,Testigo,Jalisco,29,Emocional,"¡Mi novio se perdió en el cerro! Lleva horas sin agua y el teléfono no tiene batería, ¡ayuda!"
50,Testigo,CDMX,31,Neutral,"Un amigo se quedó sin agua y no encuentra el camino de regreso, ya anocheció"
35,Testigo,Michocan,Neutral,"Me torcí el tobillo en el cerro, no puedo caminar, no tengo agua ni señal y ya anocheció"
1,Victima,Morelos,34,Neutral,"Estoy en el Cerro del Tepozteco y empezó a llover muy fuerte, el sendero está resbaloso y no puedo bajar, hay piedras cayendo"
2,Victima,Morelos,29,Emocional,"¡Voy en el Cerro del Tepozteco y se está deslizando la tierra! El camino está bloqueado por lodo y piedras, no puedo seguir ni regresar"
3,Victima,Morelos,31,Caotico,"¡LLUVIA FUERTE TEPOZTLAN SENDERO RESBALOSO DESLAVE NO BAJO AYUDA!"
4,Victima,Sonora,28,Neutral,"Subí al Cerro del Bachoco y me desorienté con la neblina, ya no veo el sendero y está empezando a oscurecer"
5,Victima,Sonora,25,Slang,"Wey, en el Cerro del Bachoco me perdí con la niebla, no veo ni madres y ya está oscureciendo, no traje ni linterna"
6,Victima,CDMX,30,Neutral,"Estoy en el Desierto de los Leones y el camino se cerró por un árbol caído, no puedo pasar y ya está lloviendo"
7,Victima,CDMX,27,Emocional,"¡Me perdí en el Desierto de los Leones! Llevo horas caminando y no encuentro la salida, el teléfono ya no tiene batería"
8,Victima,Puebla,32,Neutral,"En el sendero del Iztaccíhuatl, la tormenta de nieve nos sorprendió, no vemos el camino y el frío está muy fuerte"
9,Victima,Puebla,35,Caotico,"¡TORMENTA NIEVE IZTA NO VEO SENDERO FRÍO EXTREMO AYUDA!"
10,Victima,Puebla,29,Formal,"Estoy en el Iztaccíhuatl y la visibilidad es casi nula por la tormenta, el frío está poniendo en riesgo a mi grupo"
11,Victima,Estado de México,33,Neutral,"Subiendo al Nevado de Toluca, el camino está cubierto de hielo, no puedo avanzar ni regresar sin resbalarme"
12,Victima,Estado de México,28,Emocional,"¡El Nevado de Toluca está congelado! Resbalé varias veces y no puedo bajar, el frío es insoportable"
13,Victima,Veracruz,30,Neutral,"En el Pico de Orizaba, una tormenta eléctrica nos atrapó, no tenemos dónde resguardarnos y el rayo cayó cerca"
14,Victima,Veracruz,26,Slang,"No mames, en el Pico de Orizaba cayó un rayo a 50 metros, estamos bien expuestos y no hay refugio"
15,Victima,Guerrero,34,Neutral,"En el sendero de la Sierra de Guerrero, encontré una zona con deslave, no puedo pasar y el río está creciendo"
16,Victima,Querétaro,27,Emocional,"¡Voy en la Sierra Gorda y me quedé sin agua! El sol está bien fuerte, me siento mareado y no encuentro el camino"
17,Victima,Chihuahua,31,Neutral,"En la Barranca del Cobre, el sendero se derrumbó por las lluvias, estoy atrapado entre la pared y el precipicio"
18,Victima,Chihuahua,29,Caotico,"¡BARRANCA COBRE DERRUMBE SENDERO ATRAPADO PRECIPICIO AYUDA!"
19,Victima,CDMX,24,Neutral,"El río creció en el Desierto de los Leones y no puedo cruzarlo, estoy atrapado en esta orilla y ya está oscureciendo"
20,Victima,CDMX,22,Infantil,"Me perdí en el bosque, ya está oscuro y no encuentro a mi familia, tengo mucho miedo y frío"
21,Victima,Morelos,28,Emocional,"¡El cerro del Tepozteco tiene deslaves por la lluvia! Estoy en una zona sin señal y no sé cómo bajar"
22,Victima,Morelos,26,Slang,"Wey, en el Tepozteco hay un deslave bien culero, no puedo bajar y ya se está haciendo de noche"
23,Victima,CDMX,30,Formal,"En el Desierto de los Leones el camino principal está bloqueado por un árbol de gran tamaño, no puedo continuar"
24,Victima,Estado de México,32,Neutral,"En el Nevado de Toluca, la niebla es tan espesa que no distingo el sendero, llevo 3 horas perdido"
25,Victima,Estado de México,27,Errores,"Nevado Toluca niebla espesa no veo sendero oras perdido tengo muxo frio"
26,Victima,Puebla,34,Emocional,"¡El Iztaccíhuatl está cubierto de hielo y todos los senderos están congelados! No podemos bajar"
27,Victima,CDMX,28,Neutral,"Una tormenta eléctrica en el Ajusco me sorprendió, estoy en una zona abierta sin refugio"
28,Victima,CDMX,25,Slang,"No mames, en el Ajusco está cayendo un tormentón bien cabrón, no hay dónde esconderse"
41,Victima,Puebla,25,Infantil,"Estoy en el cerro con mi papá y él se lastimó la pierna, no puede caminar y está oscureciendo, tengo miedo"
2,Victima,Colorado (EE.UU.),34,Emocional,"¡Llevo horas perdido en las montañas de Colorado, la nieve está hasta la cintura y no encuentro el sendero! El teléfono está por apagarse, tengo mucho frío"
3,Victima,Canadá (Columbia Británica),29,Neutral,"Soy un excursionista internacional en Canadá, seguí una ruta que vi en una aplicación y ahora estoy perdido, empapado y con hipotermia, el sol ya se está poniendo"
4,Victima,California (EE.UU.),32,Caotico,"¡CAÍ POR UN ACANTILADO EN EL MONTE WILLIAMSON, TENGO LA PIERNA ROTA, SIN COMIDA Y SIN AGUA A 4,100 METROS DE ALTURA, AYUDA!"
7,Victima,Canadá,35,Slang,"Wey, seguí una ruta de una app en Canadá y terminé en un terreno bien culero con acantilados, llevo horas perdido y estoy empapado, no mames"
8,Victima,Tennessee (EE.UU.),42,Formal,"Pasé la noche en un barranco en Tennessee, perdido y con hipotermia, solo llevaba playera y shorts, la temperatura bajó a 4°C"
10,Victima,California (EE.UU.),38,Neutral,"Me caí en el Monte Williamson, tengo una fractura expuesta en la pierna, una tormenta eléctrica me alcanzó en el acantilado y no tengo mi mochila con comida ni agua"
13,Victima,Patagonia (Chile),34,Caotico,"¡VIENTO PATAGONIA 120 KM/H TIRÓ CAMPAMENTO TOLDA ROTA NO REFUGIO AYUDA!"
18,Victima,Andes (Perú),40,Emocional,"¡Mi compañero se lastimó la rodilla en la montaña! No puede caminar, el sol está bajando y no tenemos agua suficiente! Ayudanos"
20,Victima,Montañas de Tanzania,27,Neutral,"Estoy subiendo el Kilimanjaro y me dio un fuerte mal de altura, no puedo continuar y bajar solo es muy difícil, el guía se adelantó"
30,Testigo,Kilimanjaro (Tanzania),27,Neutral,"Vamos tres subiendo el Kilimanjaro, mi compañero se quedó atrás con mal de altura, tenemos que bajar juntos pero no puede caminar bien"
1,Victima,Himalaya (Nepal),37,Neutral,"Estoy en el campo base del Everest y me dio un dolor de cabeza muy fuerte, tengo náuseas y me falta el aire, no puedo caminar bien"
2,Victima,Andes (Perú),41,Emocional,"¡Subiendo los Andes y me siento fatal! La cabeza me explota, todo me da vueltas y no puedo respirar, creo que es el mal de altura"
3,Victima,Alpes (Suiza),34,Caotico,"¡MAL DE ALTURA ALPES DOLOR CABEZA VIOMITAR FALTA AIRE NO CAMINO AYUDA!"
4,Victima,Pirineos (España),29,Slang,"Wey, en los Pirineos me pegó bien mal la altura, no puedo respirar, me duele la cabeza un chingo y todo me da vueltas"
5,Testigo,Himalaya (Nepal),45,Formal,"Mi compañero presenta síntomas de mal de altura: náuseas y dolor de cabeza, no puede continuar la expedición"
6,Testigo,Alpes (Suiza),39,Emocional,"¡Mi amigo en los Alpes está muy mal! Tiene un dolor de cabeza insoportable, vomitó varias veces y está desorientado, no sabe dónde está"
15,Victima,Iztaccíhuatl (México),30,Emocional,"¡Estoy en el Iztaccíhuatl me siento fatal! Estoy mareado, con náuseas y dolor de cabeza, no puedo bajar solo"
16,Testigo,Pico de Orizaba (México),35,Neutral,"Mi compañero en el Pico de Orizaba está desorientado y vomitando, claramente es mal de altura, tenemos que bajar ya"
3,Testigo,Alpes (Suiza),39,Neutral,"Mi amigo en los Alpes está muy confundido, no reconoce el sendero y tiene alucinaciones"
5,Testigo,Iztaccíhuatl (México),35,Slang,"Wey estamos en la montaña, mi compa está bien mal, no sabe ni dónde está, dice que ve cosas y se tropieza solo, la altura le está pegando bien cabrón"









